spec	version	release	file
38.300	18.10.0	Rel-18	38300-ia0.docx
38.331	18.10.0	Rel-18	38331-ia0.docx
38.321	18.10.0	Rel-18	38321-ia0.docx
38.322	18.2.0	Rel-18	38322-i20.docx
38.323	18.5.0	Rel-18	38323-i50.docx
38.401	18.7.0	Rel-18	38401-i70.docx
38.211	18.9.0	Rel-18	38211-i90.docx
38.212	18.8.0	Rel-18	38212-i80.docx
38.213	18.8.0	Rel-18	38213-i80.docx
38.214	18.10.0	Rel-18	38214-ia0.docx
23.501	18.12.0	Rel-18	23501-ic0.docx
23.502	18.14.0	Rel-18	23502-ie0.docx
24.501	18.13.0	Rel-18	24501-id0.docx
33.501	18.12.0	Rel-18	33501-ic0.docx
21.905	18.0.0	Rel-18	21905-i00.docx
